title,description,error_code,bug_category,bug_domain,tech_stack,severity,environment,developer_role,root_cause,suggested_fix,explanation,created_at
api bug detected in system,this issue relates to a api bug occurring in the application.,403.0,api bug,mobile,spring boot,high,development,full-stack developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-04-07
memory leak detected in system,this issue relates to a memory leak occurring in the application.,500.0,memory leak,data,gcp,medium,production,backend developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a backend developer due to its nature.,2025-07-04
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,404.0,cloud configuration bug,devops,django,medium,production,mobile developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a mobile developer due to its nature.,2025-05-02
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,404.0,authentication bug,backend systems,flask,medium,production,mobile developer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a mobile developer due to its nature.,2025-07-03
logging bug detected in system,this issue relates to a logging bug occurring in the application.,503.0,logging bug,mobile,flask,high,staging,backend developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a backend developer due to its nature.,2025-09-09
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,502.0,frontend routing bug,data,laravel,medium,development,frontend developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a frontend developer due to its nature.,2025-08-28
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,403.0,ci/cd bug,mobile,laravel,high,staging,frontend developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a frontend developer due to its nature.,2025-07-13
ui bug detected in system,this issue relates to a ui bug occurring in the application.,401.0,ui bug,mobile,aws,medium,production,backend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a backend developer due to its nature.,2025-06-14
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,502.0,concurrency bug,web development,postgresql,high,staging,devops engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a devops engineer due to its nature.,2026-01-15
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,403.0,monitoring bug,data,gcp,critical,staging,data engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a data engineer due to its nature.,2025-06-23
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,401.0,cloud configuration bug,mobile,mysql,high,staging,backend developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a backend developer due to its nature.,2025-05-03
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,401.0,frontend routing bug,cloud,kubernetes,high,production,frontend developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a frontend developer due to its nature.,2026-01-15
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,500.0,authorization bug,mobile,vue,high,production,devops engineer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a devops engineer due to its nature.,2025-07-05
ui bug detected in system,this issue relates to a ui bug occurring in the application.,500.0,ui bug,backend systems,kubernetes,critical,development,devops engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a devops engineer due to its nature.,2025-10-30
memory leak detected in system,this issue relates to a memory leak occurring in the application.,404.0,memory leak,data,node.js,critical,development,mobile developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a mobile developer due to its nature.,2025-03-12
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,403.0,concurrency bug,web development,spring boot,medium,production,full-stack developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-07-28
logging bug detected in system,this issue relates to a logging bug occurring in the application.,502.0,logging bug,backend systems,flask,low,production,mobile developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a mobile developer due to its nature.,2025-07-10
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,404.0,ci/cd bug,cloud,laravel,critical,development,backend developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a backend developer due to its nature.,2025-06-09
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,400.0,backend logic bug,backend systems,docker,low,staging,frontend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a frontend developer due to its nature.,2026-01-15
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,404.0,cloud configuration bug,web development,django,low,staging,cloud engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-05-27
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,400.0,deployment bug,web development,gcp,critical,development,qa engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a qa engineer due to its nature.,2025-03-11
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,404.0,backend logic bug,cloud,mongodb,critical,production,devops engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a devops engineer due to its nature.,2025-08-30
database bug detected in system,this issue relates to a database bug occurring in the application.,404.0,database bug,devops,docker,critical,staging,backend developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a backend developer due to its nature.,2025-08-05
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,500.0,authentication bug,mobile,gcp,critical,staging,backend developer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a backend developer due to its nature.,2025-08-12
performance bug detected in system,this issue relates to a performance bug occurring in the application.,400.0,performance bug,backend systems,mongodb,high,production,security engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a security engineer due to its nature.,2025-10-24
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,404.0,concurrency bug,devops,angular,low,staging,full-stack developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-07-09
logging bug detected in system,this issue relates to a logging bug occurring in the application.,502.0,logging bug,web development,node.js,medium,development,security engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a security engineer due to its nature.,2025-05-25
memory leak detected in system,this issue relates to a memory leak occurring in the application.,401.0,memory leak,backend systems,react,medium,production,backend developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a backend developer due to its nature.,2025-09-21
api bug detected in system,this issue relates to a api bug occurring in the application.,404.0,api bug,web development,flask,low,staging,mobile developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a mobile developer due to its nature.,2025-08-19
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,503.0,security vulnerability,mobile,angular,medium,development,mobile developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a mobile developer due to its nature.,2025-12-07
memory leak detected in system,this issue relates to a memory leak occurring in the application.,401.0,memory leak,mobile,mongodb,critical,staging,mobile developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a mobile developer due to its nature.,2025-11-19
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,400.0,security vulnerability,devops,spring boot,medium,production,frontend developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a frontend developer due to its nature.,2026-01-10
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,503.0,monitoring bug,web development,flask,medium,development,devops engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a devops engineer due to its nature.,2025-09-28
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,403.0,ci/cd bug,data,postgresql,medium,production,security engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a security engineer due to its nature.,2025-08-18
api bug detected in system,this issue relates to a api bug occurring in the application.,403.0,api bug,backend systems,flask,high,production,devops engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a devops engineer due to its nature.,2025-10-07
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,502.0,frontend routing bug,data,angular,critical,development,frontend developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a frontend developer due to its nature.,2025-03-14
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,401.0,ci/cd bug,data,docker,high,staging,frontend developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a frontend developer due to its nature.,2025-06-25
logging bug detected in system,this issue relates to a logging bug occurring in the application.,400.0,logging bug,web development,spring boot,critical,staging,frontend developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a frontend developer due to its nature.,2025-06-11
logging bug detected in system,this issue relates to a logging bug occurring in the application.,403.0,logging bug,backend systems,mongodb,medium,development,mobile developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a mobile developer due to its nature.,2025-04-13
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,502.0,authorization bug,web development,spring boot,medium,development,data engineer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a data engineer due to its nature.,2025-05-20
